thm	Common.QFT.Euclidean.SchwingerFormulation.instContinuousSMulTestFunction	Common.QFT.Euclidean.Formulations	Common.QFT.Euclidean.SchwingerFormulation.instTopologicalSpaceTestFunction Common.QFT.Euclidean.Formulation.TestFunction Common.QFT.Euclidean.SchwingerFormulation.toFormulation Common.QFT.Euclidean.SchwingerFormulation.instAddCommGroupTestFunction Common.QFT.Euclidean.SchwingerFormulation.instModuleTestFunction Common.QFT.Euclidean.SchwingerFormulation
thm	GaussianField.configBasisEval_continuous	GaussianField.ConfigurationEmbedding	GaussianField.DyninMityaginSpace GaussianField.Configuration GaussianField.DyninMityaginSpace.basis GaussianField.configBasisEval
thm	Pphi2.singleSliceLatticeField.congr_simp	Pphi2.AsymTorus.AsymB5bSingleSlice	GaussianField.AsymLatticeSites Pphi2.SpatialField Pphi2.singleSliceLatticeField
thm	Common.QFT.Euclidean.SchwingerFormulation.realToComplex_add	Common.QFT.Euclidean.Formulations	Common.QFT.Euclidean.SchwingerFormulation.instAddCommGroupComplexTestFunction Common.QFT.Euclidean.Formulation.TestFunction Common.QFT.Euclidean.Formulation.ComplexTestFunction Common.QFT.Euclidean.SchwingerFormulation.toFormulation Common.QFT.Euclidean.SchwingerFormulation.realToComplex Common.QFT.Euclidean.SchwingerFormulation.instAddCommGroupTestFunction Common.QFT.Euclidean.SchwingerFormulation
def	GaussianField.ell2'	GaussianField.NuclearSVD
thm	Pphi2.massGap_pos	Pphi2.TransferMatrix.Positivity	Pphi2.groundEnergyLevel Pphi2.firstExcitedEnergyLevel Pphi2.energyLevel_gap Pphi2.massGap
thm	GaussianHilbert.polynomial_dense_L2_of_subGaussian	GaussianHilbert.PolynomialDensity	GaussianHilbert.withDensity_pos_eq_neg_of_mem_orthogonal_polynomialToL2 GaussianHilbert.polynomialToL2 GaussianHilbert.IsSubGaussianMeasure GaussianHilbert.MvPolynomial_eval_memLp_two_of_subGaussian
thm	Pphi2.asymTransferOperator_spectral	Pphi2.AsymTorus.AsymJentzsch	Pphi2.L2SpatialField Pphi2.SpatialField Pphi2.asymTransferOperator_isCompact GaussianField.compact_selfAdjoint_spectral Pphi2.asymTransferOperator_isSelfAdjoint Pphi2.asymTransferOperatorCLM
def	Pphi2.schwartzIm	Pphi2.OSAxioms	Pphi2.EuclideanOS.schwartzIm Pphi2.TestFunction2ℂ Pphi2.plane2Background Pphi2.TestFunction2
thm	GaussianField.fourierCoeffReal_circleTranslation_sin	SmoothCircle.FourierTranslation	GaussianField.circleTranslation GaussianField.SmoothMap_Circle.instFunLike GaussianField.SmoothMap_Circle.continuous GaussianField.SmoothMap_Circle.periodic GaussianField.SmoothMap_Circle.instAddCommGroup GaussianField.SmoothMap_Circle.fourierBasisFun_smooth GaussianField.SmoothMap_Circle.fourierCoeffReal GaussianField.SmoothMap_Circle.fourierBasisFun GaussianField.SmoothMap_Circle.instModule GaussianField.SmoothMap_Circle GaussianField.SmoothMap_Circle.fourierBasisFun_periodic GaussianField.SmoothMap_Circle.instTopologicalSpace
